id;nom;nature;date_debut;date_fin;is_active
1;airbus marksman;ACCIDENT_INDUSTRIEL;2026-04-22T11:33:10;2026-04-23T05:55:56;false
2;so tenant alongside;GLISSEMENT_DE_TERRAIN;2026-04-22T22:56:20;2026-04-22T23:50:38;true
3;hmph shout;INONDATION;2026-04-22T09:38:20;2026-04-23T04:37:41;false
4;information;INONDATION;2026-04-22T13:10:10;2026-04-22T21:28:30;true
5;fondly supposing;INONDATION;2026-04-23T01:23:27;2026-04-23T01:59:17;false
6;an;INONDATION;2026-04-22T17:14:41;2026-04-23T00:56:10;false
7;outside finally;INONDATION;2026-04-23T04:53:07;2026-04-22T09:53:05;false
8;mmm afore creator;FEU_DE_FORET;2026-04-23T02:12:48;2026-04-22T12:42:43;true
9;or bleakly pluck;FEU_DE_FORET;2026-04-22T14:14:17;2026-04-22T09:05:28;true
10;habit inasmuch militate;INONDATION;2026-04-22T21:35:00;2026-04-23T07:11:50;true
