id;description;geolocalisation;is_archived
1;../fake-data/blob/hipster.txt;backburn beside;true
2;../fake-data/blob/hipster.txt;wombat;false
3;../fake-data/blob/hipster.txt;cuddly qua considering;true
4;../fake-data/blob/hipster.txt;gah woot;false
5;../fake-data/blob/hipster.txt;scarcely chubby;false
6;../fake-data/blob/hipster.txt;ingratiate bah quickly;false
7;../fake-data/blob/hipster.txt;beyond;true
8;../fake-data/blob/hipster.txt;though;false
9;../fake-data/blob/hipster.txt;out midst that;true
10;../fake-data/blob/hipster.txt;husk negotiation;false
